shopper_id,seniority,found_rate,picking_speed,accepted_rate,rating
a4f286662755a6114dcfa8d54d2efb32,ADVANCED,0.911827957,15.9,0.96,5
82c8cf0e07354b1a900efce04c85d875,REVIEW,,21.24,0.8333333333,
3b3df19816a85d0efc050cbee9925028,ADVANCED,0.8411016949,12.4,0.88,4.96
6e4f6af9acd7bed38b6643aa5b3ddf5f,ADVANCED,0.872,20.63333333,0.96,5
9d65849a73592cde5d874fde60adcaa5,REVIEW,0.9350961538,15.15,0.72,4.86
c11a9ee46ee2c3234d196a2c06d65198,ADVANCED,0.9017013233,12.55,0.92,4.92
23e4c0490c1319956f517e4e09de5d7f,REVIEW,0.9241245136,13.21666667,0.8,4.91
dec9f9225eeda428297b5c7bdf68c235,REVIEW,,21.24,1,
718267fdeefba3da814ebb3f2c008579,ADVANCED,0.9310344828,10.83333333,1,4.6
dfe48e45cdd0ab8f0f18d64aebc85131,REVIEW,,21.24,0.8,
4925dbab193171931f66c95d0793e3f7,ADVANCED,0.918294849,10.51666667,1,4.92
b172f0346cc1360c06ec6fd01d4662ff,REVIEW,,21.24,1,
98e778d3a84358b696307c96532aaf1b,REVIEW,,21.24,0.8,
3fef81d713cde792a041225b58770707,ADVANCED,0.9352,10.82,1,4.84
797cd1a679ece075fad4b4c31ae6d7f1,REVIEW,,21.24,1,
051d11bc20ecbc7f8e46eaafb331d925,ADVANCED,0.8823529412,11.86666667,0.92,4.64
9e85af333091e53aafdb640a973fc61e,ADVANCED,0.9497206704,10.18333333,1,4.96
f05f74a0652c5555a8e2e45d1b81139c,ADVANCED,0.8470066519,26.85,0.96,4.95
41049950b214fcd8d404ebf5b23e28c5,REVIEW,,21.24,1,
76aa232c4feb3af96993d971d62c2a0f,ADVANCED,0.8985507246,33.06666667,0.88,4.76
25a4bbc7709e123e182f8604cee63cdd,REVIEW,0.8630136986,17.1,1,
7b86d5bbb5267aff24c8e4bf4f227209,ADVANCED,0.875862069,24.56666667,1,5
4ccae637c521d5bae47cc41b907413f7,REVIEW,,21.24,1,
38e8923112472f6596f064414988ca28,REVIEW,,21.24,0.8,
2ea8e5f3744a2b0f0a614f621d8b75ec,ADVANCED,0.896049896,8.533333333,0.92,5
942b24bbd93b93b3e7d442fbb3d2edca,REVIEW,,21.24,0.6666666667,
c272388e3f5345ee81c65e092fe21199,ADVANCED,0.8872727273,18.5,0.92,4.88
f23ce76bb8fbb67bc2c335b6888af96c,ADVANCED,0.8535714286,16.13333333,1,4.96
b5c65259f6fad214485903212039b943,REVIEW,,16.58,0.6,
cc1730bd1f30c93a715d22cfe96d2d45,REVIEW,,21.24,0.6666666667,
632b4cf8469d7b96de40819142ae9ffd,ADVANCED,0.8526785714,12,0.96,4.84
fb77cecb4e40ffbfb505c1e3ba38078c,REVIEW,,21.24,1,
7a0d2f02ff3abe1dfc9bc2be54ae64ef,ADVANCED,0.8789571695,13.33333333,0.96,5
b511448fbcb2c0fa8ef2b9754c513a5f,REVIEW,,21.24,1,
03e6d964f03f4dec2559a1e711753b46,REVIEW,0.8587,13.47,0.68,4.84
eadb3f6c2c6e31a0038c23e25bd916ed,REVIEW,0.9006514658,20.46666667,0.68,4.68
426a8bfbd3c6576c74137d7c6babcb32,REVIEW,0.9207317073,10.53333333,0.72,5
e6fd380f626ea5f38f4fd8f7f9524e82,ADVANCED,0.9175946548,20.35,0.96,5
c03844b9a5ee5d06cb5baa2fe56944d2,ADVANCED,0.8842105263,17.05,1,4.68
b2b74e549f9beff3d881b6c4733d0f0d,ADVANCED,0.886,13.86,1,4.88
f6e91bfe6faa85a87fb39fa489f17c00,REVIEW,0.8441860465,22,1,4.48
c980e5440082e55a6b632c4ef423d0c5,REVIEW,0.8333333333,20.86666667,0.9333333333,4.83
c7767fe5319abfc2675a5b38e483fef2,ADVANCED,0.9051,6.4,0.96,4.84
c06465b901be394a1dbc052132db2fd0,REVIEW,,29.26666667,0.4545454545,
cf416bdb86e4de3db60324967f201c36,REVIEW,,21.24,1,
c9f8fc31b05531dd7c5ab6f702173998,ADVANCED,0.9208633094,17.69166667,1,5
f1890f040c3b5092d4d14db875dd483b,REVIEW,,21.24,0.8,
d20eea7e9dd852cb69a8b138f6a2a51b,ADVANCED,0.8811188811,11.88333333,1,4.6
b080d89e04726415029d4cfa83d1b579,ADVANCED,0.9123630673,12.63333333,0.96,5
af768928a25a50dc8ace573fe7a92f72,REVIEW,,21.24,0.625,
6aea8f2e0b0f4f1f0d217b1a615182c3,REVIEW,0.9166666667,8.716666667,0.68,4.72
1d2ac471c71ab2c6e747d50a8967c664,REVIEW,,21.24,0.8,
a6f2577220292dfcaa098281ce8e2fbd,ADVANCED,0.8088,21.24,0.92,4.4
3ada4badb1ce3cb9467746c7b08be921,REVIEW,,21.24,0.8,
b59226b7137a4d46eef766a3f9a7f7d8,ADVANCED,0.8970873786,12.68333333,1,5
b8ec03f39c482691d2a7385c0505047c,ADVANCED,0.8591,8.07,0.92,4.68
d0d1ca62c05715d93983f3ca519414d9,REVIEW,0.8921933086,9.733333333,0.8,5
4688396598c07ccc1f57d69849f16799,ADVANCED,0.8765432099,14.48333333,0.96,4.92
735ad35fa47bb424c8c38f33f7c0309c,ADVANCED,0.9340277778,21.51666667,1,5
fa3926c9cf18bb4bcb9cd37b9d33dada,REVIEW,,21.24,0.5,
eba83639c64abdb7cad6ede9c8bdd391,REVIEW,0.9230769231,6.033333333,0.64,4.88
e5961dc6729b89dc9bfb938b8bd7dda5,ADVANCED,0.8843813387,18.31666667,0.92,4.96
2dc5c7bee4104aa6383a7674451a7aac,ADVANCED,0.8207343413,19.48333333,1,4.88
e0e28b2c095e8f87b8b01f239726af42,REVIEW,0.8666666667,14.83333333,0.72,4.6
df071943658f30fca400434573de0067,REVIEW,,21.24,0.8,
163278a2f745b3416526066a5fe12f3b,ADVANCED,0.9562682216,8.6,1,5
1f541fbbae5a141f7c9320b7a0dde0a3,ADVANCED,0.9308681672,12.76666667,0.96,4.91
6b858ed4a3d8af1512448e5dac16a1d0,REVIEW,,21.24,1,
7ce06be1acf0630fca74e3808962d5c4,INTERMEDIATE,0.8685446009,18.13333333,0.88,4.83
e190195a336285318bb84a39c794c023,REVIEW,,21.24,0.3333333333,
de19e2cdc1889d6d2f175063bc10e0fe,ADVANCED,0.8943,7.55,0.96,4.91
26cbb8be72b67daf6711b990ef72688f,REVIEW,,19.06666667,1,
9145afef10a877a4ee39fcd22de40825,REVIEW,,21.24,0.8,
69236856e9d15de6750a0756acf95ecf,ADVANCED,0.9113,4.29,0.92,4.84
4737408bdd83f471f73175fe7dc7fa6c,ADVANCED,0.8834080717,16.76666667,0.92,4.96
ba29eb1a2d3ec0580718db14f540650c,BEGINNER,,21.24,,
bfa29fbf3d9428156ebda16453762e60,ADVANCED,0.8831168831,13.46666667,0.96,4.84
f96a3b5fb5a302d27c04607029ae0f72,ADVANCED,0.9048625793,17.98333333,0.92,4.88
c04ed16889508333c307a5eea47a7b43,REVIEW,0.875,14.21666667,0.68,5
6c56f1f2a2fa3fe38ce3f1d30b63bea9,REVIEW,0.9102296451,6.85,0.8,4.83
3620a62d042dde1ce78ddd42f0dbd672,ADVANCED,0.8661417323,22.33333333,1,
b47dcd00fd6ac928ae824d71349ecc81,ADVANCED,0.8955696203,30.93333333,0.96,4.88
59995d7ffdb9faa2be0b878f74cd33b7,ADVANCED,0.8149,17.59,0.92,4.2
b81156689d1f8dc28b3b55703c39331f,REVIEW,,21.24,0.8,
13a38975331a00f84e5341e4fef73e5c,REVIEW,,21.24,1,
7c09ed97cd7f8c705345642523bde587,REVIEW,,21.24,0.8333333333,
66ea61f42e97a565b03969b912e9c932,REVIEW,,21.24,1,
9ac8a00843fc194dad7bba4290c037fa,ADVANCED,0.8417132216,17.58333333,0.92,5
bd08307386d4f72e7a586c0c41f3efec,REVIEW,0.908045977,13.64166667,0.8333333333,
4f9c2ecdf0b0576311784ac94aa7116c,REVIEW,0.8536,11.7,0.36,4.69
1227e74c92baf9d06c69a5197499b14d,REVIEW,,21.24,0.8571428571,
58fda995b368d5a66589c94f024839ed,REVIEW,,21.24,0.8,
ee88fcf157f216fedf215087bc5ff1d1,ADVANCED,0.8123667377,13.08333333,0.96,4.8
b8ae3ae916bee97850db2ef3357ca030,ADVANCED,0.8893905192,16.38333333,1,4.68
883abc821c4011d38f01514734821fca,REVIEW,,21.24,1,
9d004f202c880cdf5a4bddb035c727ae,REVIEW,,21.24,1,
2587b6177d4b806f2b2372898b3e360d,REVIEW,,21.24,0.5,
981b71ec3bfce078edc3a656595f13c3,REVIEW,0.8902439024,22.75,0.84,4.9
51eb99ecb189341d21c61dd6a8a2999c,ADVANCED,0.890776699,15.5,1,5
2388d8c3f0ab6639c131b923fe68623a,BEGINNER,,21.24,0.3846153846,
c7b1c813ff9eb30d4270d1ea56006287,ADVANCED,0.8326,11.22,0.92,4.96
3d1d06f06a2dca2292ae756263388a8a,REVIEW,0.8073,9.52,0.76,4.88
971a5ee53579e63a64a11c27a51bdca3,REVIEW,,21.24,0.8,
0d6bb7cce35ee171b35e8f11734c132b,ADVANCED,0.8604651163,13.85,0.96,4.96
39d6ad2d03a592141d6ae187ebc618fa,REVIEW,,21.24,0.4545454545,
8abe96a46734cad38ee534d1442fcee5,REVIEW,0.8243,16.96,0.56,4.36
e2727548221bb7291ab8d3003fa61427,ADVANCED,0.903030303,9.783333333,0.96,5
0336897a9b778aa69b7cd2206fae9c45,ADVANCED,0.89,7.97,1,4.84
95aadb0e0ac4d5194034be91605e2205,REVIEW,0.9081632653,12.26666667,0.84,5
5f82c349ea2495b815e05046b61ae82c,ADVANCED,0.8888888889,17.3,1,4.77
7fe1e6a28ab815b1c5f15c1da014be0b,REVIEW,,21.24,1,
c829ed107ffa968ac1fdda09e79d1112,INTERMEDIATE,0.8821989529,16.61666667,1,4.84
989decbe6ec03c58c9f006678f436b0e,ADVANCED,0.9093,23,0.92,4.63
e1a968ad6a8e4070639a4c14352279f3,REVIEW,,21.24,0.8333333333,
e78bef9046d6b7ae2e1e5c261816b1c1,REVIEW,0.9007092199,7.616666667,0.68,4.72
baa890b52d5402244ef585097d9daa46,REVIEW,,21.24,0.6,
fceba230cdfcaca2e1bad510e4c0b448,REVIEW,0.9085923218,10.68333333,0.76,4.72
c4d29bb6d3279a923ebc64d960ce47fc,ADVANCED,0.9165,11.8,0.88,4.96
e9e77efd33f478bee6b04fc700ee6a8e,REVIEW,0.9166666667,2.466666667,0.68,4.84
7e485ef1775d0b87591a6265afff7890,ADVANCED,0.8800813008,13.58333333,1,4.92
96501a08cf1930fcf052fba59ec2c296,REVIEW,0.9006,7.24,0.84,5
29c71974682f681c20c96dbb5d18d8ef,REVIEW,,21.24,0.8571428571,
4999a8dda00d18b58e742833aec56595,ADVANCED,0.8595166163,22.05,1,4.64
316549158047fb81e5cb82afc5718fb0,REVIEW,,21.24,1,
21adc33ec977e661501ad1289ad7f058,ADVANCED,0.8951612903,24.7,1,5
5badeaa77cf406068b31eda13476c839,ADVANCED,0.8880597015,26.18333333,0.88,4.76
f43fa0fe7518cdc36d036635fcdc7b71,REVIEW,0.8524590164,25.30833333,0.9166666667,
d496ba7779b233dde15ea7319fbe91f2,ADVANCED,0.92,15.61666667,1,5
56686240dba8ef31308b30e7d8b64912,ADVANCED,0.8851351351,17.76666667,1,4.73
c8addbaded3846d5211f79b592b87252,REVIEW,,21.24,0.4,
a1b8b99f01d548466f2ca2390b99831e,ADVANCED,0.9034090909,9.566666667,1,5
6789b6de04186a48ff70c8a97c12f8d7,REVIEW,,21.24,0.4,
f2865667f52c2e8fb814d1d420caf747,ADVANCED,0.8896551724,13.78333333,0.96,5
1521daedb99930be8a7c74ab71208930,REVIEW,,21.24,0.4444444444,
42bb9f6969cdaf731a0ea3a41252b31b,ADVANCED,0.9383033419,6.083333333,1,5
ae102f220db57d03089df53e26afc17f,REVIEW,,19.85,0.8,
eb86fed8782966ef0bd89711445c6b98,ADVANCED,0.9100169779,7.416666667,1,4.72
f92b63427b71a539d368d266d121e06e,REVIEW,0.8965517241,21.96666667,0.84,4.92
8a467c2182d0dc91db30aa152af94e14,REVIEW,,21.24,0.8333333333,
4400bd9a1e649dd8a1b47ab22640a3b7,REVIEW,,17.28333333,0.8333333333,
c8cecb7b30e1a39cb28a5b0e66d099ce,ADVANCED,0.8462962963,10.75,0.96,4.92
d040188c018a9549318677cbbcd4dd3f,ADVANCED,0.8888888889,15.21666667,1,4.92
c63e7efc26dec448f9613eaf9b1b2e69,REVIEW,,21.24,0.8333333333,
d97884d5cc49eb4f105b273306dc9307,REVIEW,,21.24,1,
30f21a38e08a301715804141ff15d4fe,ADVANCED,0.9442970822,15.8,1,4.84
16c3dbdebe4ac096b95658a6ca446e21,REVIEW,,21.24,0.8,
bc6364b9c6aa400b286967284ee3d233,REVIEW,,21.24,1,
b7e1166967f3ad4aa76d6090cf099f80,ADVANCED,0.8944954128,18.43333333,0.92,4.92
042519be12f8c5862b52202e4abc9a5b,REVIEW,,21.24,1,
1086f8bd35741295220dc7e0be332cf5,ADVANCED,0.8432835821,16.9,0.9444444444,4.6
00650e48aa1397da5ecf8b75432c6969,ADVANCED,0.9310344828,21.4,0.96,5
cbcc2cba25cf29be76a932b518b4f8a9,REVIEW,0.8972332016,22.46666667,0.84,4.92
4eee746d84d042fa61b27643d87449ec,REVIEW,0.9188255613,14.51666667,0.84,4.92
26e08597ecae44a7ea93b0099f9360e6,ADVANCED,0.8959044369,17.41666667,0.88,4.85
03d61d93d1af05b52daa585fcc6e1782,REVIEW,,17.91666667,1,
12d011dec16d7e2372f916de88bdbb21,ADVANCED,0.9440993789,17.58333333,1,4.91
c51375f037b9d2ecb76c4dadeed064d6,ADVANCED,0.8929,17.44,0.92,4.84
c48f4834b93640c1b085bd3d4656316c,ADVANCED,0.9107692308,5.866666667,0.96,4.73
dddb7bccaf91a2fdfb46575e4605f31b,ADVANCED,0.8875739645,11.2,1,5
43397ecd7e9bf9fd922c0a2bcd6e5e8f,ADVANCED,0.8785,12.13,1,4.96
9474a1e7de95e2d113346597e599db6a,REVIEW,,21.24,1,
